Delivery Date,Hour Ending,Price,Time_Index,Date,Year
06/28/2013,17:00,522.23,4288,2013-06-28 15:00:00,2013
06/28/2013,16:00,498.71,4287,2013-06-28 14:00:00,2013
08/07/2013,17:00,424.03,5248,2013-08-07 15:00:00,2013
06/28/2013,18:00,372.51,4289,2013-06-28 16:00:00,2013
08/06/2013,17:00,297.67,5224,2013-08-06 15:00:00,2013
06/27/2013,17:00,210.59,4264,2013-06-27 15:00:00,2013
08/01/2013,17:00,204.55,5104,2013-08-01 15:00:00,2013
08/02/2013,17:00,200.79,5128,2013-08-02 15:00:00,2013
08/05/2013,17:00,192.22,5200,2013-08-05 15:00:00,2013
08/07/2013,16:00,181.73,5247,2013-08-07 14:00:00,2013
08/06/2013,16:00,165.97,5223,2013-08-06 14:00:00,2013
08/30/2013,17:00,165.84,5800,2013-08-30 15:00:00,2013
06/27/2013,16:00,159.82,4263,2013-06-27 14:00:00,2013
10/03/2013,17:00,159.46,6616,2013-10-03 15:00:00,2013
07/12/2013,17:00,148.3,4624,2013-07-12 15:00:00,2013
08/08/2013,17:00,147.93,5272,2013-08-08 15:00:00,2013
06/27/2013,18:00,144.0,4265,2013-06-27 16:00:00,2013
08/07/2013,18:00,140.8,5249,2013-08-07 16:00:00,2013
06/28/2013,15:00,139.33,4286,2013-06-28 13:00:00,2013
08/04/2013,17:00,138.13,5176,2013-08-04 15:00:00,2013
08/01/2013,16:00,124.8,5103,2013-08-01 14:00:00,2013
08/09/2013,17:00,124.09,5296,2013-08-09 15:00:00,2013
10/03/2013,16:00,122.18,6615,2013-10-03 14:00:00,2013
08/02/2013,16:00,120.98,5127,2013-08-02 14:00:00,2013
08/03/2013,17:00,114.92,5152,2013-08-03 15:00:00,2013
07/12/2013,16:00,109.4,4623,2013-07-12 14:00:00,2013
10/03/2013,15:00,108.07,6614,2013-10-03 13:00:00,2013
08/30/2013,16:00,107.7,5799,2013-08-30 14:00:00,2013
08/05/2013,16:00,106.78,5199,2013-08-05 14:00:00,2013
09/06/2013,17:00,105.37,5968,2013-09-06 15:00:00,2013
08/06/2013,18:00,104.07,5225,2013-08-06 16:00:00,2013
12/07/2013,10:00,101.92,8170,2013-12-07 09:00:00,2013
08/08/2013,16:00,101.64,5271,2013-08-08 14:00:00,2013
12/06/2013,18:00,99.84,8154,2013-12-06 17:00:00,2013
12/06/2013,19:00,98.85,8155,2013-12-06 18:00:00,2013
10/03/2013,18:00,97.96,6617,2013-10-03 16:00:00,2013
09/05/2013,17:00,96.25,5944,2013-09-05 15:00:00,2013
08/01/2013,18:00,95.48,5105,2013-08-01 16:00:00,2013
12/11/2013,07:00,95.02,8263,2013-12-11 06:00:00,2013
07/12/2013,18:00,94.12,4625,2013-07-12 16:00:00,2013
09/06/2013,16:00,93.71,5967,2013-09-06 14:00:00,2013
08/29/2013,17:00,92.59,5776,2013-08-29 15:00:00,2013
10/04/2013,17:00,92.09,6640,2013-10-04 15:00:00,2013
12/07/2013,09:00,90.17,8169,2013-12-07 08:00:00,2013
12/07/2013,11:00,89.23,8171,2013-12-07 10:00:00,2013
12/10/2013,07:00,87.16,8239,2013-12-10 06:00:00,2013
03/26/2013,07:00,84.66,2022,2013-03-26 05:00:00,2013
03/26/2013,08:00,84.58,2023,2013-03-26 06:00:00,2013
05/17/2013,17:00,81.49,3280,2013-05-17 15:00:00,2013
06/29/2013,17:00,81.33,4312,2013-06-29 15:00:00,2013
09/05/2013,16:00,81.08,5943,2013-09-05 14:00:00,2013
07/31/2013,17:00,81.02,5080,2013-07-31 15:00:00,2013
08/29/2013,16:00,80.21,5775,2013-08-29 14:00:00,2013
08/03/2013,16:00,80.0,5151,2013-08-03 14:00:00,2013
07/11/2013,17:00,79.65,4600,2013-07-11 15:00:00,2013
07/10/2013,17:00,79.56,4576,2013-07-10 15:00:00,2013
09/04/2013,17:00,79.28,5920,2013-09-04 15:00:00,2013
12/07/2013,18:00,76.97,8178,2013-12-07 17:00:00,2013
05/17/2013,18:00,76.14,3281,2013-05-17 16:00:00,2013
04/16/2013,17:00,75.76,2536,2013-04-16 15:00:00,2013
06/28/2013,19:00,75.41,4290,2013-06-28 17:00:00,2013
12/07/2013,19:00,75.25,8179,2013-12-07 18:00:00,2013
07/13/2013,17:00,75.25,4648,2013-07-13 15:00:00,2013
03/06/2013,07:00,74.9,1543,2013-03-06 06:00:00,2013
03/25/2013,08:00,74.89,1999,2013-03-25 06:00:00,2013
07/25/2013,17:00,74.8,4936,2013-07-25 15:00:00,2013
10/04/2013,16:00,74.72,6639,2013-10-04 14:00:00,2013
12/23/2013,07:00,74.71,8551,2013-12-23 06:00:00,2013
08/13/2013,17:00,74.49,5392,2013-08-13 15:00:00,2013
03/01/2013,07:00,74.13,1423,2013-03-01 06:00:00,2013
08/09/2013,16:00,73.88,5295,2013-08-09 14:00:00,2013
10/02/2013,17:00,73.75,6592,2013-10-02 15:00:00,2013
05/01/2013,17:00,73.61,2896,2013-05-01 15:00:00,2013
08/31/2013,17:00,73.51,5824,2013-08-31 15:00:00,2013
08/04/2013,16:00,73.22,5175,2013-08-04 14:00:00,2013
04/15/2013,17:00,73.2,2512,2013-04-15 15:00:00,2013
09/03/2013,17:00,72.83,5896,2013-09-03 15:00:00,2013
07/31/2013,16:00,72.72,5079,2013-07-31 14:00:00,2013
05/01/2013,18:00,72.26,2897,2013-05-01 16:00:00,2013
12/17/2013,07:00,72.19,8407,2013-12-17 06:00:00,2013
08/02/2013,18:00,71.6,5129,2013-08-02 16:00:00,2013
09/12/2013,17:00,71.48,6112,2013-09-12 15:00:00,2013
12/12/2013,07:00,71.16,8287,2013-12-12 06:00:00,2013
09/03/2013,16:00,70.99,5895,2013-09-03 14:00:00,2013
06/27/2013,15:00,70.95,4262,2013-06-27 13:00:00,2013
07/19/2013,17:00,70.72,4792,2013-07-19 15:00:00,2013
08/01/2013,15:00,70.5,5102,2013-08-01 13:00:00,2013
12/05/2013,18:00,70.37,8130,2013-12-05 17:00:00,2013
05/17/2013,16:00,70.14,3279,2013-05-17 14:00:00,2013
08/04/2013,18:00,69.87,5177,2013-08-04 16:00:00,2013
08/12/2013,17:00,69.77,5368,2013-08-12 15:00:00,2013
06/13/2013,17:00,69.34,3928,2013-06-13 15:00:00,2013
03/25/2013,07:00,69.26,1998,2013-03-25 05:00:00,2013
12/17/2013,08:00,68.65,8408,2013-12-17 07:00:00,2013
07/24/2013,17:00,68.44,4912,2013-07-24 15:00:00,2013
09/12/2013,16:00,68.22,6111,2013-09-12 14:00:00,2013
09/04/2013,16:00,68.05,5919,2013-09-04 14:00:00,2013
11/25/2013,19:00,67.89,7891,2013-11-25 18:00:00,2013
04/15/2013,18:00,67.69,2513,2013-04-15 16:00:00,2013
09/11/2013,17:00,67.68,6088,2013-09-11 15:00:00,2013
05/01/2013,16:00,67.58,2895,2013-05-01 14:00:00,2013
06/14/2013,17:00,67.43,3952,2013-06-14 15:00:00,2013
08/23/2013,17:00,67.32,5632,2013-08-23 15:00:00,2013
06/05/2013,17:00,66.99,3736,2013-06-05 15:00:00,2013
09/09/2013,17:00,66.67,6040,2013-09-09 15:00:00,2013
09/13/2013,17:00,66.58,6136,2013-09-13 15:00:00,2013
04/15/2013,16:00,66.56,2511,2013-04-15 14:00:00,2013
10/01/2013,17:00,66.24,6568,2013-10-01 15:00:00,2013
04/16/2013,16:00,66.22,2535,2013-04-16 14:00:00,2013
08/06/2013,15:00,66.2,5222,2013-08-06 13:00:00,2013
08/30/2013,15:00,66.03,5798,2013-08-30 13:00:00,2013
11/25/2013,18:00,65.83,7890,2013-11-25 17:00:00,2013
12/06/2013,20:00,65.74,8156,2013-12-06 19:00:00,2013
06/10/2013,17:00,65.72,3856,2013-06-10 15:00:00,2013
09/25/2013,17:00,65.36,6424,2013-09-25 15:00:00,2013
11/13/2013,07:00,65.36,7591,2013-11-13 06:00:00,2013
08/28/2013,17:00,65.26,5752,2013-08-28 15:00:00,2013
02/28/2013,07:00,65.08,1399,2013-02-28 06:00:00,2013
05/20/2013,17:00,65.06,3352,2013-05-20 15:00:00,2013
07/13/2013,18:00,64.82,4649,2013-07-13 16:00:00,2013
09/11/2013,16:00,64.78,6087,2013-09-11 14:00:00,2013
07/09/2013,17:00,64.78,4552,2013-07-09 15:00:00,2013
12/24/2013,07:00,64.7,8575,2013-12-24 06:00:00,2013
11/24/2013,18:00,64.63,7866,2013-11-24 17:00:00,2013
06/21/2013,17:00,64.49,4120,2013-06-21 15:00:00,2013
10/11/2013,17:00,64.27,6808,2013-10-11 15:00:00,2013
08/27/2013,17:00,64.27,5728,2013-08-27 15:00:00,2013
08/31/2013,16:00,64.22,5823,2013-08-31 14:00:00,2013
12/05/2013,19:00,64.12,8131,2013-12-05 18:00:00,2013
06/29/2013,18:00,64.08,4313,2013-06-29 16:00:00,2013
06/27/2013,19:00,63.9,4266,2013-06-27 17:00:00,2013
04/21/2013,21:00,63.89,2660,2013-04-21 19:00:00,2013
03/22/2013,17:00,63.72,1936,2013-03-22 15:00:00,2013
05/31/2013,17:00,63.72,3616,2013-05-31 15:00:00,2013
12/23/2013,08:00,63.69,8552,2013-12-23 07:00:00,2013
12/16/2013,07:00,63.68,8383,2013-12-16 06:00:00,2013
03/07/2013,07:00,63.56,1567,2013-03-07 06:00:00,2013
11/24/2013,19:00,63.49,7867,2013-11-24 18:00:00,2013
09/09/2013,16:00,63.49,6039,2013-09-09 14:00:00,2013
09/13/2013,16:00,63.38,6135,2013-09-13 14:00:00,2013
12/06/2013,08:00,63.37,8144,2013-12-06 07:00:00,2013
08/22/2013,17:00,63.24,5608,2013-08-22 15:00:00,2013
12/10/2013,08:00,63.21,8240,2013-12-10 07:00:00,2013
05/18/2013,17:00,63.19,3304,2013-05-18 15:00:00,2013
06/17/2013,17:00,63.14,4024,2013-06-17 15:00:00,2013
08/08/2013,18:00,63.06,5273,2013-08-08 16:00:00,2013
12/16/2013,08:00,62.89,8384,2013-12-16 07:00:00,2013
07/30/2013,17:00,62.79,5056,2013-07-30 15:00:00,2013
06/12/2013,17:00,62.65,3904,2013-06-12 15:00:00,2013
07/25/2013,16:00,62.64,4935,2013-07-25 14:00:00,2013
08/30/2013,18:00,62.64,5801,2013-08-30 16:00:00,2013
08/05/2013,18:00,62.43,5201,2013-08-05 16:00:00,2013
04/09/2013,17:00,62.16,2368,2013-04-09 15:00:00,2013
09/01/2013,17:00,62.13,5848,2013-09-01 15:00:00,2013
01/16/2013,07:00,62.11,367,2013-01-16 06:00:00,2013
11/27/2013,07:00,62.07,7927,2013-11-27 06:00:00,2013
04/16/2013,18:00,61.98,2537,2013-04-16 16:00:00,2013
09/02/2013,17:00,61.86,5872,2013-09-02 15:00:00,2013
11/13/2013,08:00,61.86,7592,2013-11-13 07:00:00,2013
08/19/2013,17:00,61.67,5536,2013-08-19 15:00:00,2013
06/29/2013,16:00,61.67,4311,2013-06-29 14:00:00,2013
10/02/2013,16:00,61.63,6591,2013-10-02 14:00:00,2013
11/14/2013,07:00,61.36,7615,2013-11-14 06:00:00,2013
11/06/2013,19:00,61.19,7435,2013-11-06 18:00:00,2013
08/05/2013,15:00,61.1,5198,2013-08-05 13:00:00,2013
09/07/2013,17:00,61.09,5992,2013-09-07 15:00:00,2013
09/18/2013,17:00,60.97,6256,2013-09-18 15:00:00,2013
07/06/2013,17:00,60.96,4480,2013-07-06 15:00:00,2013
07/05/2013,17:00,60.95,4456,2013-07-05 15:00:00,2013
08/07/2013,15:00,60.82,5246,2013-08-07 13:00:00,2013
09/08/2013,17:00,60.79,6016,2013-09-08 15:00:00,2013
09/27/2013,17:00,60.72,6472,2013-09-27 15:00:00,2013
04/29/2013,17:00,60.71,2848,2013-04-29 15:00:00,2013
09/19/2013,16:00,60.45,6279,2013-09-19 14:00:00,2013
11/25/2013,08:00,60.39,7880,2013-11-25 07:00:00,2013
03/18/2013,17:00,60.32,1840,2013-03-18 15:00:00,2013
08/20/2013,17:00,60.31,5560,2013-08-20 15:00:00,2013
07/29/2013,17:00,60.17,5032,2013-07-29 15:00:00,2013
07/10/2013,16:00,60.16,4575,2013-07-10 14:00:00,2013
11/26/2013,07:00,59.9,7903,2013-11-26 06:00:00,2013
12/06/2013,07:00,59.89,8143,2013-12-06 06:00:00,2013
08/03/2013,18:00,59.82,5153,2013-08-03 16:00:00,2013
07/11/2013,16:00,59.68,4599,2013-07-11 14:00:00,2013
12/30/2013,07:00,59.68,8719,2013-12-30 06:00:00,2013
12/11/2013,08:00,59.6,8264,2013-12-11 07:00:00,2013
08/10/2013,17:00,59.57,5320,2013-08-10 15:00:00,2013
06/16/2013,17:00,59.53,4000,2013-06-16 15:00:00,2013
05/20/2013,16:00,59.47,3351,2013-05-20 14:00:00,2013
07/19/2013,16:00,59.41,4791,2013-07-19 14:00:00,2013
07/18/2013,17:00,59.25,4768,2013-07-18 15:00:00,2013
08/13/2013,16:00,59.15,5391,2013-08-13 14:00:00,2013
07/31/2013,18:00,58.98,5081,2013-07-31 16:00:00,2013
08/26/2013,17:00,58.98,5704,2013-08-26 15:00:00,2013
09/19/2013,17:00,58.97,6280,2013-09-19 15:00:00,2013
04/11/2013,08:00,58.96,2407,2013-04-11 06:00:00,2013
06/14/2013,16:00,58.95,3951,2013-06-14 14:00:00,2013
03/18/2013,18:00,58.9,1841,2013-03-18 16:00:00,2013
09/07/2013,16:00,58.89,5991,2013-09-07 14:00:00,2013
08/21/2013,17:00,58.87,5584,2013-08-21 15:00:00,2013
12/09/2013,07:00,58.85,8215,2013-12-09 06:00:00,2013
10/12/2013,17:00,58.83,6832,2013-10-12 15:00:00,2013
10/11/2013,16:00,58.83,6807,2013-10-11 14:00:00,2013
12/12/2013,08:00,58.74,8288,2013-12-12 07:00:00,2013
11/04/2013,19:00,58.7,7387,2013-11-04 18:00:00,2013
08/02/2013,15:00,58.68,5126,2013-08-02 13:00:00,2013
05/23/2013,17:00,58.63,3424,2013-05-23 15:00:00,2013
07/10/2013,18:00,58.54,4577,2013-07-10 16:00:00,2013
08/28/2013,16:00,58.5,5751,2013-08-28 14:00:00,2013
04/11/2013,07:00,58.4,2406,2013-04-11 05:00:00,2013
04/28/2013,21:00,58.36,2828,2013-04-28 19:00:00,2013
08/11/2013,17:00,58.33,5344,2013-08-11 15:00:00,2013
04/30/2013,17:00,58.29,2872,2013-04-30 15:00:00,2013
12/07/2013,20:00,58.14,8180,2013-12-07 19:00:00,2013
06/17/2013,16:00,58.03,4023,2013-06-17 14:00:00,2013
04/28/2013,18:00,57.93,2825,2013-04-28 16:00:00,2013
05/13/2013,17:00,57.92,3184,2013-05-13 15:00:00,2013
09/18/2013,16:00,57.84,6255,2013-09-18 14:00:00,2013
10/31/2013,16:00,57.84,7287,2013-10-31 14:00:00,2013
