Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
biomass,1,68.596,0.0,0.0,68.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_hydroelectric,1,467.896,0.0,0.0,467.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal,1,6722.0,0.0,0.0,6722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal_1,1,698.001,0.0,0.0,698.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal_2,1,6335.001,0.0,0.0,6335.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal_3,1,2772.6,0.0,0.0,2772.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,1,793.002,0.0,0.0,793.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_1,1,780.099,0.0,0.0,780.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_2,1,2121.0,0.0,0.0,2121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_3,1,1100.3039999999999,0.0,0.0,1100.3039999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_4,1,4644.003,0.0,0.0,4644.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_5,1,745.701,0.0,0.0,745.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_6,1,703.899,0.0,0.0,703.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_7,1,4029.0,0.0,0.0,4029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_8,1,1740.3,0.0,0.0,1740.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_9,1,2018.4009999999998,0.0,0.0,2018.4009999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_10,1,1031.0,0.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_11,1,10296.594000000001,0.0,0.0,10296.594000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_12,1,532.2,0.0,0.0,532.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_13,1,237.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_14,1,1188.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_15,1,1026.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_16,1,7481.001,0.0,0.0,7481.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_17,1,204.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_18,1,870.9,0.0,0.0,870.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_19,1,824.0,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,1,541.008,0.0,0.0,541.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_1,1,741.004,0.0,0.0,741.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_2,1,1089.403,0.0,0.0,1089.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_3,1,81.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_4,1,1384.5120000000002,0.0,0.0,1384.5120000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_5,1,180.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_6,1,90.6,0.0,0.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_7,1,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_8,1,353.502,0.0,0.0,353.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_9,1,48.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_10,1,557.004,0.0,0.0,557.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_11,1,1539.0,0.0,0.0,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_12,1,846.001,0.0,0.0,846.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_13,1,336.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_14,1,208.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_15,1,546.997,0.0,0.0,546.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_16,1,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_17,1,276.198,0.0,0.0,276.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_18,1,240.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_19,1,84.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine,1,825.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_1,1,521.1990000000001,0.0,0.0,521.1990000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_2,1,2.3,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_3,1,17.5,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_4,1,1326.0,0.0,0.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_5,1,167.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_6,1,171.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_7,1,2160.0,0.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_8,1,1265.001,0.0,0.0,1265.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_9,1,844.002,0.0,0.0,844.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_10,1,1495.0,0.0,0.0,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_11,1,248.001,0.0,0.0,248.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_12,1,392.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_13,1,480.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_14,1,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_15,1,1461.0,0.0,0.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_16,1,430.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_17,1,169.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_18,1,169.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_19,1,122.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,1,2560.0,0.0,0.0,2560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_1,1,2460.0,0.0,0.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_turbine,1,24925.4,0.0,0.0,24925.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_hydroelectric,1,15.751000000000001,0.0,0.0,15.751000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_photovoltaic,1,596.0,0.0,0.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,111509.88100000001,0.0,0.0,111509.88100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
